Torque 0.250848 4.67727 1.42375 2.06397 0.309631
Position 2.9625 1.30184 -4.8289 2.79104 4.45984
Velocity -0 0.0308789 -0.299498 0.0884956 0.0988201
Torque 0.250848 4.8445 1.96645 2.02776 0.292236
Position 2.9625 1.30289 -4.85986 2.79586 4.47022
Velocity -0 -0 0 -0 -0.00884956
Torque 0.250848 4.78702 2.8408 1.77067 0.27832
Position 2.9625 1.30289 -4.85492 2.7958 4.46757
Velocity -0 -0 0.131947 -0.00147493 -0.0235988
Torque 0.250848 4.59888 5.2327 1.28908 -0.20874
Position 2.9625 1.30289 -4.83556 2.79551 4.45622
Velocity -0 -0 0.120428 -0.00442478 -0.134218
Torque 0.250848 4.57275 4.26455 0.952323 -0.219177
Position 2.9625 1.30289 -4.82858 2.79476 4.45387
Velocity -0 -0 0.015708 -0.0058997 -0
Torque 0.250848 4.38461 4.5024 0.767652 -0.215698
Position 2.9625 1.30289 -4.82847 2.7929 4.45409
Velocity -0 -0 0.0010472 -0.00147493 -0
Torque 0.250848 4.27487 4.95465 0.680748 0.128723
Position 2.9625 1.30289 -4.82261 2.78743 4.45451
Velocity -0 -0 0.095295 -0.0840708 0.00442478
Torque 0.250848 3.87769 4.99485 0.673506 0.135681
Position 2.9625 1.30234 -4.79828 2.76661 4.46066
Velocity -0 -0.0161107 0.312065 -0.280236 0.0929203
Torque 0.250848 0.961584 5.18915 -0.119493 0.24353
Position 2.9625 1.29259 -4.74407 2.71482 4.47582
Velocity -0 -0.123516 0.582242 -0.59882 0.0988201
Torque 0.250848 0.7839 5.293 -0.510561 0.27832
Position 2.9625 1.27532 -4.65619 2.6146 4.48661
Velocity -0 -0.14701 0.857655 -1.0059 0.0752212
Torque 0.250848 -0.318786 5.2662 -0.648159 0.27832
Position 2.9625 1.25652 -4.53794 2.48427 4.49852
Velocity -0 -0.161107 1.09642 -1.0413 0.10767
Torque 0.250848 -1.02952 5.68495 -1.02836 0.292236
Position 2.9625 1.23589 -4.39074 2.37774 4.50752
Velocity -0 -0.175204 1.35717 -0.814159 0.0707965
Torque 0.250848 -1.72458 5.85245 -0.890766 0.292236
Position 2.9625 1.21435 -4.21189 2.28336 4.51814
Velocity -0 -0.181917 1.58755 -0.769911 0.039823
Torque 0.250848 -2.30989 5.5007 -0.778515 0.316589
Position 2.9625 1.19006 -4.02705 2.19 4.53157
Velocity -0 -0.202055 1.43676 -0.780236 0.0884956
Torque 0.250848 -2.50848 4.3282 -0.666264 0.302673
Position 2.9625 1.1652 -3.87388 2.09489 4.54277
Velocity -0 -0.189972 1.13411 -0.789086 0.110619
Torque 0.250848 -0.987714 4.2947 -0.604707 0.302673
Position 2.9625 1.14016 -3.75761 2.00159 4.55192
Velocity -0 -0.202055 0.82938 -0.771386 0.0752212
Torque 0.250848 -2.49803 4.4756 -0.619191 0.302673
Position 2.9625 1.1158 -3.6737 1.9083 4.56308
Velocity -0 -0.196014 0.644027 -0.787611 0.058997
Torque 0.250848 -2.25763 5.26955 -0.611949 0.285278
Position 2.96252 1.10061 -3.61773 1.84628 4.57294
Velocity -0 -0.189301 0.767596 -0.765487 0.10177
Torque 0.250848 -2.48758 5.9295 -0.735063 0.285278
Position 2.96251 1.06518 -3.4326 1.70484 4.58874
Velocity -0.00067128 -0.181917 1.13516 -0.766962 0.10177
Torque 0.250848 -2.00678 4.7771 -0.666264 0.292236
Position 2.96251 1.04082 -3.30046 1.61095 4.59927
Velocity -0 -0.210111 1.04301 -0.789086 0.128319
Torque 0.250848 -2.44054 4.1808 -0.633675 0.288757
Position 2.96251 1.01747 -3.1802 1.51706 4.61051
Velocity -0 -0.185273 0.989602 -0.774336 0.120944
